miliYAChe.|	miliYAChe.|,NP,0,0,n,n#
dolayAtrA	dolayAtrA,NP,sg,0,n,n#dolayAtrA,NV,0,n,n#dolayAtrA,NC,sg,0,n,n#
pA.nchajanye	pA.nchajanya,NP,sg,0,n,n#pA.nchajanya,NC,sg,0,n,n#pA.nchajanya,NV,0,n,n#
bAridhia-bakShei	bAridhia-bakShei,NP,0,0,n,n#
namrabhAba	namrabhAba,NP,0,0,n,n#
kanakachU.DAra	kanakachU.DAra,NP,0,0,n,n#
betana-atirikta	betana-atirikta,NP,0,0,n,n#
konadino	konadino,NP,0,0,n,n#
bhAga-bA.NAToYArAra	bhAga-bA.NAToYArAra,NP,0,0,n,n#
Arabo	Arabo,NP,0,0,n,n#
pau.NChAnara	pau.NChAnara,NP,0,0,n,n#
'TriTamenTa	'TriTamenTa,NP,0,0,n,n#
sbArtha-a-	sbArtha-a-,NP,0,0,n,n#
namunATi	namunATi,NP,0,0,n,n#
kShUdrasbArthasampanna	kShUdrasbArthasampanna,NP,0,0,n,n#
bhikShAnnabhakShaNa	bhikShAnnabhakShaNa,NP,0,0,n,n#
shA.N.DApula	shA.N.DApula,NP,0,0,n,n#
bibhinnamukhI	bibhinnamukhI,NP,0,0,n,n#
AnakorA	AnakorA,JJ,n,n#AnakorA,JQ,n,n,nnm#
AshApUrNAa	AshApUrNAa,NP,0,0,n,n#
ballAma	ballAma,NP,0,0,n,n#
yemanai	yemanai,NP,0,0,n,n#
elAkAgulitea	elAkAgulitea,NP,0,0,n,n#
TebilAntare	TebilAntare,NP,0,0,n,n#
jalabAtAsera	jalabAtAsa,NP,sg,gen,n,n#jalabAtAsa,NV,gen,n,n#jalabAtAsa,NC,sg,gen,n,n#
akAraNera	akAraNera,NP,0,0,n,n#
bhiDioTepaTi	bhiDioTepaTi,NP,0,0,n,n#
lagu.Dhasta	lagu.Dhasta,NP,0,0,n,n#
giYAsauddina	giYAsauddina,NP,0,0,n,n#
maphala.n	maphala.n,NP,0,0,n,n#
AoYAja-a-	AoYAja-a-,NP,0,0,n,n#
netRRitbAdhIne	netRRitbAdhIne,NP,0,0,n,n#
raNahu~NkAreo	raNahu~NkAreo,NP,0,0,n,n#
tulakAmAla	tulakAmAla,NP,0,0,n,n#
iYehudAra	iYehudAra,NP,0,0,n,n#
pratiShedhamUlaka	pratiShedhamUlaka,NP,0,0,n,n#
nispRRihabhAbe	nispRRihabhAbe,NP,0,0,n,n#
abyabahita	abyabahita,JQ,n,n,nnm#abyabahita,JJ,n,n#
mRRiduprakRRiti	mRRiduprakRRiti,NP,0,0,n,n#
ChAtra-shikShakarA	ChAtra-shikShakarA,NP,0,0,n,n#
deonandanera	deonandanera,NP,0,0,n,n#
bAnisadara	bAnisadara,NP,0,0,n,n#
pa.Disania?a	pa.Disania?a,NP,0,0,n,n#
konaTAi	konaTAi,NP,0,0,n,n#
cha.Data	cha.DA,VM,3,prs,pft,dcl,fin,n,n,n#cha.DA,VAUX,3,prs,pft,dcl,fin,n,n,n#
'sporTi.n	'sporTi.n,NP,0,0,n,n#
margAna	margAna,NP,0,0,n,n#
jIbakITAnubiddha	jIbakITAnubiddha,NP,0,0,n,n#
kartRRitbapriYa	kartRRitbapriYa,NP,0,0,n,n#
hA.Ndu	hA.Ndu,NP,0,0,n,n#
dhAraNakShamatA	dhAraNakShamatA,NP,0,0,n,n#
deokibAbura	deokibAbura,NP,0,0,n,n#
pArka-kartAdera	pArka-kartAdera,NP,0,0,n,n#
ba.nshodbhUta-adhyuShita	ba.nshodbhUta-adhyuShita,NP,0,0,n,n#
lua-ra	lua-ra,NP,0,0,n,n#
paribartanaTi	paribartanaTi,NP,0,0,n,n#
dehabhAShA	dehabhAShA,NP,0,0,n,n#
brethaoYeTa	brethaoYeTa,NP,0,0,n,n#
a~Nkagulio	a~Nka,NC,pl,0,y,n#a~Nka,NV,0,y,n#
sUrya-jhalakAno	sUrya-jhalakAno,NP,0,0,n,n#
basatabhiTA	basatabhiTA,NP,0,0,n,n#
maulabhia	maulabhia,NP,0,0,n,n#
baDodarAke	baDodarAke,NP,0,0,n,n#
sibAlao	sibAlao,NP,0,0,n,n#
bajrapeShaNe	bajrapeShaNe,NP,0,0,n,n#
shatabarSheo	shatabarSha,NV,0,n,n#shatabarSha,NC,0,0,n,n#shatabarSha,NP,0,0,n,n#
nAthuni.'	nAthuni.',NP,0,0,n,n#
besisa	besisa,NP,0,0,n,n#
j~nAnadAnandinIra	j~nAnadAnandinIra,NP,0,0,n,n#
bAjeTa-bahirbhUta	bAjeTa-bahirbhUta,NP,0,0,n,n#
geiYA	geiYA,NP,0,0,n,n#
karmodyoga	karmodyoga,NP,0,0,n,n#
chAita-a-	chAita-a-,NP,0,0,n,n#
TraTii	TraTii,NP,0,0,n,n#
Yete	Yete,NP,0,0,n,n#
prastaraphalakera	prastaraphalakera,NP,0,0,n,n#
shrIbhUmite	shrIbhUmite,NP,0,0,n,n#
sAÏrura	sAÏrura,NP,0,0,n,n#
kA.NkarApA.DA	kA.NkarApA.DA,NP,0,0,n,n#
pratiShThAna-kendrika	pratiShThAna-kendrika,NP,0,0,n,n#
belajiYAmerai	belajiYAmerai,NP,0,0,n,n#
haTibe	haTibe,NP,0,0,n,n#
yea-nItira	yea-nItira,NP,0,0,n,n#
