miliYAChe.|	miliYAChe.|,NP,0,0,n,n#
shbAsakAsAdi	shbAsakAsAdi,NP,0,0,n,n#
Tela-era	Tela-era,NP,0,0,n,n#
si.nha-muthAiYArA	si.nha-muthAiYArA,NP,0,0,n,n#
golaguloi	gola,NV,0,y,n#gola,NC,pl,0,y,n#
guYAhATike	guYAhATike,NP,0,0,n,n#
karNadebera	karNadebera,NP,0,0,n,n#
bhImake	bhIma,NC,sg,acc,n,n#bhIma,NV,acc,n,n#
dharmamati	dharmamati,NP,0,0,n,n#
jantujAnoYAra	jantujAnoYAra,NP,sg,0,n,n#jantujAnoYAra,NC,sg,0,n,n#jantujAnoYAra,NV,0,n,n#
giria-ra	giria-ra,NP,0,0,n,n#
dhbania-shakti	dhbania-shakti,NP,0,0,n,n#
migagulike	miga,NV,acc,y,n#miga,NC,pl,acc,y,n#
bargaphala	bargaphala,NC,sg,0,n,n#bargaphala,NP,sg,0,n,n#bargaphala,NV,0,n,n#
mAnuShakeoa	mAnuShakeoa,NP,0,0,n,n#
j~nAnabAne	j~nAnabAne,NP,0,0,n,n#
alimpAsa	alimpAsa,NP,0,0,n,n#
shyAmiera	shyAmiera,NP,0,0,n,n#
shArada-sammAnera	shArada-sammAnera,NP,0,0,n,n#
abantIpurAYa	abantIpurAYa,NP,0,0,n,n#
AchAra-AcharaNera	AchAra-AcharaNera,NP,0,0,n,n#
dharnAa-bikShobha	dharnAa-bikShobha,NP,0,0,n,n#
mephisTorA	mephisTorA,NP,0,0,n,n#
rabIndra-atula-dbijendrera	rabIndra-atula-dbijendrera,NP,0,0,n,n#
bhArachiu	bhArachiu,NP,0,0,n,n#
brAjilei	brAjilei,NP,0,0,n,n#
bishrAmaghara	bishrAmaghara,NP,0,0,n,n#
purApuri	purApuri,JQ,n,n,nnm#purApuri,JJ,n,n#
kAgaja-bharti	kAgaja-bharti,NP,0,0,n,n#
lalitabAbuke	lalitabAbuke,NP,0,0,n,n#
krase	krase,NP,0,0,n,n#
shRRi~NgArapradhAna	shRRi~NgArapradhAna,NP,0,0,n,n#
byabasAa-sahAYaka	byabasAa-sahAYaka,NP,0,0,n,n#
Tramaso	Tramaso,NP,0,0,n,n#
dehabhANDera	dehabhANDera,NP,0,0,n,n#
sbAbhAbibabhAbe	sbAbhAbibabhAbe,NP,0,0,n,n#
udAratAkei	udAratA,NV,acc,n,n#udAratA,NC,sg,acc,n,n#udAratA,NP,sg,acc,n,n#
yAtrIsa~NgIdera	yAtrIsa~NgIdera,NP,0,0,n,n#
mahakumAshAsaka	mahakumAshAsaka,NP,0,0,n,n#
bighnIkRRita	bighnIkRRita,NP,0,0,n,n#
'sAbAsha	'sAbAsha,NP,0,0,n,n#
bibechanArthe	bibechanArthe,NP,0,0,n,n#
bhA~Natea-bhA~Nate	bhA~Natea-bhA~Nate,NP,0,0,n,n#
mArTiniYera	mArTiniYera,NP,0,0,n,n#
anatibalambe	anatibalambe,NP,0,0,n,n#
charchAke	charchA,NP,sg,acc,n,n#charchA,NC,sg,acc,n,n#charchA,NV,acc,n,n#
sAnnATAa	sAnnATAa,NP,0,0,n,n#
i.nlyANDa-phrAnsa-itAlira	i.nlyANDa-phrAnsa-itAlira,NP,0,0,n,n#
jaYayukta	jaYayukta,JQ,n,n,nnm#jaYayukta,JJ,n,n#
'dua'Ti	'dua'Ti,NP,0,0,n,n#
hAshomAra	hAshomAra,NP,0,0,n,n#
sobhAla	sobhAla,NP,0,0,n,n#
arthaTii	arthaTii,NP,0,0,n,n#
kea-iu	kea-iu,NP,0,0,n,n#
dinendranAtha	dinendranAtha,NP,0,0,n,n#
sa.nsthAa-ra	sa.nsthAa-ra,NP,0,0,n,n#
sahAnubhutite	sahAnubhutite,NP,0,0,n,n#
alpaprANa	alpaprANa,JJ,n,n#alpaprANa,NP,sg,0,n,n#alpaprANa,NV,0,n,n#alpaprANa,JQ,n,n,nnm#alpaprANa,NC,sg,0,n,n#
nAYAraNabAbu	nAYAraNabAbu,NP,0,0,n,n#
jinibhA	jinibhA,NP,0,0,n,n#
bAdyakei	bAdya,NC,sg,acc,n,n#bAdya,NP,sg,acc,n,n#bAdya,NV,acc,n,n#
prAthamika-mAdhyamika	prAthamika-mAdhyamika,NP,0,0,n,n#
kAjikeo	kAji,NC,sg,acc,n,n#kAji,NV,acc,n,n#kAji,NP,sg,acc,n,n#
tAka-bharti	tAka-bharti,NP,0,0,n,n#
brahmasabhAYa	brahmasabhAYa,NP,0,0,n,n#
pa.nchAnanake	pa.nchAnana,NV,acc,n,n#pa.nchAnana,NC,sg,acc,n,n#
Adarshaj~nApaka	Adarshaj~nApaka,NP,0,0,n,n#
sagharma	sagharma,NP,0,0,n,n#
balaChena,a	balaChena,a,NP,0,0,n,n#
mulArake	mulArake,NP,0,0,n,n#
mAnabasambandhera	mAnabasambandhera,NP,0,0,n,n#
kAnupriYa	kAnupriYa,NP,0,0,n,n#
hAtiYera	hAti,NP,sg,0,n,n#hAti,NV,0,n,n#hAti,NC,sg,0,n,n#
kelpa	kelpa,NP,0,0,n,n#
'sohinI	'sohinI,NP,0,0,n,n#
kallola'a-e	kallola'a-e,NP,0,0,n,n#
byAjao	byAja,NC,0,0,n,n#byAja,NP,0,0,n,n#byAja,NV,0,n,n#
chaliteChea-a-	chaliteChea-a-,NP,0,0,n,n#
hyAmaleTa'a-e	hyAmaleTa'a-e,NP,0,0,n,n#
golabAjArera	golabAjArera,NP,0,0,n,n#
kustigIra	kustigIra,NV,0,n,n#kustigIra,NP,sg,0,n,n#kustigIra,NC,sg,0,n,n#
rupena	rupena,NP,0,0,n,n#
binyAsakriYAYa	binyAsakriYAYa,NP,0,0,n,n#
abasthAntara	abasthAntara,NV,0,n,n#abasthAntara,NP,sg,0,n,n#abasthAntara,NC,sg,0,n,n#
pAkhiderao	pAkhi,NP,pl,gen,n,n#pAkhi,NV,gen,n,n#pAkhi,NC,pl,gen,n,n#
phyANTAsTika	phyANTAsTika,NP,0,0,n,n#
samasa.nkhyaka	samasa.nkhyaka,NP,0,0,n,n#
upa-nirbAchanera	upa-nirbAchanera,NP,0,0,n,n#
chamatkArera	chamatkAra,NV,gen,n,n#chamatkAra,NC,sg,gen,n,n#chamatkAra,NP,sg,gen,n,n#
jIbadehera	jIbadehera,NP,0,0,n,n#
Chandei	Chanda,NV,0,n,n#Chanda,NC,0,0,n,n#Chanda,NP,0,0,n,n#
dubhAYe	dubhAYe,NP,0,0,n,n#
bishRRi~NkShalA	bishRRi~NkShalA,NP,0,0,n,n#
uikeTakipi.nTA	uikeTakipi.nTA,NP,0,0,n,n#
jipA	jipA,NP,0,0,n,n#
tahalakAa-Tepa-era	tahalakAa-Tepa-era,NP,0,0,n,n#
abalA	abalA,JJ,n,n#abalA,NV,0,n,n#abalA,NC,sg,0,n,n#abalA,NP,sg,0,n,n#abalA,JQ,n,n,nnm#
kartabyaparAYaNatAa'a-ra	kartabyaparAYaNatAa'a-ra,NP,0,0,n,n#
raTAchChena.'	raTAchChena.',NP,0,0,n,n#
benAkAba	benAkAba,NP,0,0,n,n#
matiullAra	matiullAra,NP,0,0,n,n#
IrshA	IrshA,NP,0,0,n,n#
deoYAlea-a-	deoYAlea-a-,NP,0,0,n,n#
brahmachAriNIra	brahmachAriNI,NC,sg,gen,n,n#brahmachAriNI,NV,gen,n,n#brahmachAriNI,NP,sg,gen,n,n#
jalAbhUmiTi	jalAbhUmiTi,NP,0,0,n,n#
plAjamAke	plAjamAke,NP,0,0,n,n#
sadAchArI	sadAchArI,JJ,n,n#sadAchArI,JQ,n,n,nnm#
upAYea-a-oYAkiTakira	upAYea-a-oYAkiTakira,NP,0,0,n,n#
madhyikhAnera	madhyikhAnera,NP,0,0,n,n#
baleoChena	baleoChena,NP,0,0,n,n#
sampAdakarA	sampAdaka,NP,pl,0,n,n#sampAdaka,NV,0,n,n#sampAdaka,NC,pl,0,n,n#
'dya	'dya,NP,0,0,n,n#
Depa-era	Depa-era,NP,0,0,n,n#
phebruYAriteo	phebruYAri,NV,loc,n,n#phebruYAri,NC,0,loc,n,n#
bAlAYa.'	bAlAYa.',NP,0,0,n,n#
samparkaTAkei	samparkaTAkei,NP,0,0,n,n#
bhalateYAra-a-	bhalateYAra-a-,NP,0,0,n,n#
khelanArobaTa	khelanArobaTa,NP,0,0,n,n#
brAkShmaNa	brAkShmaNa,NP,0,0,n,n#
ardhagolAkRRiti	ardhagolAkRRiti,NP,0,0,n,n#
jibhao	jibha,NP,0,0,n,n#jibha,NC,0,0,n,n#jibha,NV,0,n,n#
kAnnAbhAroa	kAnnAbhAroa,NP,0,0,n,n#
matoma~NgalabAra	matoma~NgalabAra,NP,0,0,n,n#
dA.NA.DAibea	dA.NA.DAibea,NP,0,0,n,n#
uttamakUmAra.a.a..	uttamakUmAra.a.a..,NP,0,0,n,n#
Aj~nAprApta	Aj~nAprApta,NP,0,0,n,n#
kepiesa	kepiesa,NP,0,0,n,n#
sole	sola,NV,0,n,n#sola,NP,sg,0,n,n#sola,NC,sg,0,n,n#
jiYAgu.Di	jiYAgu.Di,NP,0,0,n,n#
A.DAYa	A.DA,NC,sg,0,n,n#A.DA,NV,0,n,n#
kAipha-mo~NgiYAdera	kAipha-mo~NgiYAdera,NP,0,0,n,n#
peNDenTera	peNDenTera,NP,0,0,n,n#
rAjesha-Dimapalera	rAjesha-Dimapalera,NP,0,0,n,n#
shroDAra-phishAra	shroDAra-phishAra,NP,0,0,n,n#
'sArTiphikeTa	'sArTiphikeTa,NP,0,0,n,n#
TichArarA	TichArarA,NP,0,0,n,n#
arDinAnse	arDinAnse,NP,0,0,n,n#
rAmachandrakhAlira	rAmachandrakhAlira,NP,0,0,n,n#
duia-taChamAa-ra	duia-taChamAa-ra,NP,0,0,n,n#
hRRidAYAnanda	hRRidAYAnanda,NP,0,0,n,n#
smRRitisadana	smRRitisadana,NP,0,0,n,n#
ka~NkaramaYa	ka~NkaramaYa,NP,0,0,n,n#
hasapiTyAliTi	hasapiTyAliTi,NP,0,0,n,n#
antarbibhAga	antarbibhAga,NP,0,0,n,n#
pa~nchendriYera	pa~nchendriYera,NP,0,0,n,n#
sebha-era	sebha-era,NP,0,0,n,n#
shilpa-tAlukake	shilpa-tAlukake,NP,0,0,n,n#
uparasthita	uparasthita,NP,0,0,n,n#
sadAa-sakriYa	sadAa-sakriYa,NP,0,0,n,n#
kAloYAra?a'a	kAloYAra?a'a,NP,0,0,n,n#
Agarakaraoa	Agarakaraoa,NP,0,0,n,n#
legaspinAraTA	legaspinAraTA,NP,0,0,n,n#
sa.nskRRitia-prItira	sa.nskRRitia-prItira,NP,0,0,n,n#
chittabinodaka	chittabinodaka,NP,0,0,n,n#
imapichamenTera	imapichamenTera,NP,0,0,n,n#
tauphilidera	tauphilidera,NP,0,0,n,n#
AThArasho	AThArasho,NP,0,0,n,n#
netAa-pulisha-	netAa-pulisha-,NP,0,0,n,n#
sTyANDera	sTyANDera,NP,0,0,n,n#
hA.NsaphA.Nsa	hA.NsaphA.Nsa,NP,sg,0,n,n#hA.NsaphA.Nsa,NV,0,n,n#hA.NsaphA.Nsa,NC,sg,0,n,n#
tulanIYa?a'a	tulanIYa?a'a,NP,0,0,n,n#
nakashAlerAo	nakashAla,NC,pl,0,y,n#nakashAla,NV,0,y,n#nakashAla,NP,pl,0,y,n#
brahmapura-bhubaneshbara	brahmapura-bhubaneshbara,NP,0,0,n,n#
laja	laja,NP,0,0,n,n#
binodanashilpa	binodanashilpa,NP,0,0,n,n#
pareChilAma	parA,VAUX,1,pst,pft,dcl,fin,n,n,n#parA,VM,1,pst,pft,dcl,fin,n,n,n#
hadishera	hadishera,NP,0,0,n,n#
jonake	jonake,NP,0,0,n,n#
tinabhAi	tinabhAi,NP,0,0,n,n#
bichArasabhAo	bichArasabhAo,NP,0,0,n,n#
praNaYe	praNaYa,NV,0,n,n#praNaYa,NP,sg,0,n,n#praNaYa,NC,sg,0,n,n#
abhaYAraNyake	abhaYAraNyake,NP,0,0,n,n#
Asatea	Asatea,NP,0,0,n,n#
shayyAshiYare	shayyAshiYare,NP,0,0,n,n#
priNTera	priNTera,NP,0,0,n,n#
abishbAsIke	abishbAsI,NV,acc,n,n#abishbAsI,NP,sg,acc,n,n#abishbAsI,NC,sg,acc,n,n#
bhalTagulite	bhalTagulite,NP,0,0,n,n#
pArTisadasya	pArTisadasya,NP,0,0,n,n#
guhATAke	guhA,NC,sg,acc,y,n#guhA,NV,acc,y,n#
tulaChena.'	tulaChena.',NP,0,0,n,n#
hanila	hanila,NP,0,0,n,n#
yugadharmai	yugadharmai,NP,0,0,n,n#
pUrbaba~NgabAsIra	pUrbaba~NgabAsIra,NP,0,0,n,n#
kAjAkhasthAnerai	kAjAkhasthAnerai,NP,0,0,n,n#
kartAhisAbe	kartAhisAbe,NP,0,0,n,n#
yatnAttiTA	yatnAttiTA,NP,0,0,n,n#
kRRiShikAryya	kRRiShikAryya,NP,0,0,n,n#
bhiserAi	bhiserAi,NP,0,0,n,n#
mahAkAlagu.Di	mahAkAlagu.Di,NP,0,0,n,n#
khrIShTAbdE	khrIShTAbdE,NP,0,0,n,n#
rasAYanabij~nAnIra	rasAYanabij~nAnIra,NP,0,0,n,n#
abhibhAbakatbera	abhibhAbakatbera,NP,0,0,n,n#
bAlAsi.nhamera	bAlAsi.nhamera,NP,0,0,n,n#
e.DAgudA	e.DAgudA,NP,0,0,n,n#
kiraNamaYI	kiraNamaYI,JQ,n,n,nnm#kiraNamaYI,JJ,n,n#
sharaNa.'	sharaNa.',NP,0,0,n,n#
aprema	aprema,NP,0,0,n,n#
chorAkArabArirA	chorAkArabArirA,NP,0,0,n,n#
bikShobha-Andolanakei	bikShobha-Andolanakei,NP,0,0,n,n#
etakiChura	etakiChura,NP,0,0,n,n#
sAndhyutsaba	sAndhyutsaba,NP,0,0,n,n#
bhabiShyapurANa	bhabiShyapurANa,NP,sg,0,n,n#bhabiShyapurANa,NC,sg,0,n,n#bhabiShyapurANa,NV,0,n,n#
palAshake	palAsha,NV,acc,n,n#palAsha,NC,sg,acc,n,n#
a~njalia'a-ra	a~njalia'a-ra,NP,0,0,n,n#
kA.Na	kA.Na,NP,0,0,n,n#
dA.Ntana	dA.Ntana,NC,sg,0,n,n#dA.Ntana,NP,sg,0,n,n#dA.Ntana,NV,0,n,n#
yoga	yoga,NV,0,n,n#yoga,NC,sg,0,n,n#yoga,NP,sg,0,n,n#
ea-pA.DAYa	ea-pA.DAYa,NP,0,0,n,n#
blumera	blumera,NP,0,0,n,n#
gloa-sAine	gloa-sAine,NP,0,0,n,n#
akamiunisTa	akamiunisTa,NP,0,0,n,n#
paribea	paribea,NP,0,0,n,n#
AsabAba-AYojanera	AsabAba-AYojanera,NP,0,0,n,n#
pAnigrAhI	pAnigrAhI,NP,0,0,n,n#
pAroa-chandramukhIa'ra	pAroa-chandramukhIa'ra,NP,0,0,n,n#
DoneshAna	DoneshAna,NP,0,0,n,n#
mehebA	mehebA,NP,0,0,n,n#
hAoYAa-moragera	hAoYAa-moragera,NP,0,0,n,n#
pUjAriNIa	pUjAriNIa,NP,0,0,n,n#
piTArakei	piTArakei,NP,0,0,n,n#
prashnottara-parba	prashnottara-parba,NP,0,0,n,n#
Chakata	Chakata,NP,0,0,n,n#
lAbha'a-era	lAbha'a-era,NP,0,0,n,n#
maraNashIla	maraNashIla,JQ,n,n,nnm#maraNashIla,JJ,n,n#
nRRityAnShThuAna	nRRityAnShThuAna,NP,0,0,n,n#
sa.ngrAmajit	sa.ngrAmajit,NP,0,0,n,n#
sTrAiDe	sTrAiDe,NP,0,0,n,n#
oYAralesa-seTa	oYAralesa-seTa,NP,0,0,n,n#
bAdhalo	bAdhalo,NP,0,0,n,n#
rAba.DIdebI	rAba.DIdebI,NP,0,0,n,n#
AAripha	AAripha,NP,0,0,n,n#
rikashaoYAlAke	rikashaoYAlA,NV,acc,n,n#rikashaoYAlA,NP,sg,acc,n,n#rikashaoYAlA,NC,sg,acc,n,n#
marakatakU~nja	marakatakU~nja,NP,0,0,n,n#
hala.--	hala.--,NP,0,0,n,n#
bastibAsIrAo	bastibAsIrAo,NP,0,0,n,n#
ChAdamaYa	ChAdamaYa,NP,0,0,n,n#
sahadhikartA	sahadhikartA,NP,0,0,n,n#
shAkya	shAkya,NP,sg,0,n,n#shAkya,NV,0,n,n#shAkya,NC,sg,0,n,n#
phuTapAtaTA	phuTapAta,NC,sg,0,y,n#phuTapAta,NV,0,y,n#
baTagAChira	baTagAChira,NP,0,0,n,n#
khosAmatana	khosAmatana,NP,0,0,n,n#
oDesA	oDesA,NP,0,0,n,n#
brahmabAdinera	brahmabAdinera,NP,0,0,n,n#
ra~Na-mistrira	ra~Na-mistrira,NP,0,0,n,n#
mANDakarNi	mANDakarNi,NP,0,0,n,n#
pAhmurAijeshanera	pAhmurAijeshanera,NP,0,0,n,n#
joYAnera	joYAna,NC,sg,gen,n,n#joYAna,NP,sg,gen,n,n#joYAna,NV,gen,n,n#
prabesha-patha	prabesha-patha,NP,0,0,n,n#
prÅdhAna	prÅdhAna,NP,0,0,n,n#
bephia	bephia,NP,0,0,n,n#
badyipura	badyipura,NP,0,0,n,n#
meYea'ke	meYea'ke,NP,0,0,n,n#
bauddhAchArya	bauddhAchArya,NP,0,0,n,n#
bahiHstha	bahiHstha,JQ,n,n,nnm#bahiHstha,JJ,n,n#
sugAnAra	sugAnAra,NP,0,0,n,n#
nabInabhAi	nabInabhAi,NP,0,0,n,n#
kanThAra	kanThAra,NP,0,0,n,n#
dhUlomaYalA	dhUlomaYalA,NP,0,0,n,n#
bAdashA	bAdashA,NP,sg,0,n,n#bAdashA,NC,sg,0,n,n#bAdashA,NV,0,n,n#
gAa-ChamaChame	gAa-ChamaChame,NP,0,0,n,n#
chAriYe	chAri,NC,sg,0,n,n#chArAno,LV,n#chAri,NV,0,n,n#chArAno,VAUX,3,prs,sim,dcl,nfn,n,n,n#chAri,NP,sg,0,n,n#chArAno,LC,n,0#chArAno,VM,3,prs,sim,dcl,nfn,n,n,n#
bikAshila	bikAshila,NP,0,0,n,n#
sebhera	sebhera,NP,0,0,n,n#
phyAlA	phyAlA,NP,0,0,n,n#
seTAia	seTAia,NP,0,0,n,n#
sbAmIkeo	sbAmI,NP,sg,acc,n,n#sbAmI,NC,sg,acc,n,n#sbAmI,NV,acc,n,n#
kAkasAa	kAkasAa,NP,0,0,n,n#
durgotsabi	durgotsabi,NP,0,0,n,n#
AbhirbhUta	AbhirbhUta,NP,0,0,n,n#
lAjulira	lAjulira,NP,0,0,n,n#
paridheYa	paridheYa,JQ,n,n,nnm#paridheYa,NV,0,n,n#paridheYa,JJ,n,n#paridheYa,NP,sg,0,n,n#paridheYa,NC,sg,0,n,n#
kena-a-	kena-a-,NP,0,0,n,n#
raga.DAni	raga.DAni,NP,0,0,n,n#
upadeSha	upadeSha,NP,0,0,n,n#
kochabihArake	kochabihArake,NP,0,0,n,n#
sthitiprakAragata	sthitiprakAragata,NP,0,0,n,n#
khriHa	khriHa,NP,0,0,n,n#
shmashmAnera	shmashmAnera,NP,0,0,n,n#
sbapanakUmArai	sbapanakUmArai,NP,0,0,n,n#
aksaphorDeo	aksaphorDeo,NP,0,0,n,n#
abhiyAnaguli	abhiyAna,NV,0,y,n#abhiyAna,NC,pl,0,y,n#
pAraChi.'	pAraChi.',NP,0,0,n,n#
shilpasa.nj~nAra	shilpasa.nj~nAra,NP,0,0,n,n#
chipasera	chipasera,NP,0,0,n,n#
ka~NkAlAsthi	ka~NkAlAsthi,NP,0,0,n,n#
TArameTa	TArameTa,NP,0,0,n,n#
shilparItio	shilparItio,NP,0,0,n,n#
kA.DiYAChena	kA.DiYAChena,NP,0,0,n,n#
upa-sachiba	upa-sachiba,NP,0,0,n,n#
kAliYAdamanera	kAliYAdamanera,NP,0,0,n,n#
AAYAra	AAYAra,NP,0,0,n,n#
DipatheriYAa	DipatheriYAa,NP,0,0,n,n#
e~njiniYAriÍYe	e~njiniYAriÍYe,NP,0,0,n,n#
phireChe.'	phireChe.',NP,0,0,n,n#
jaYalalitAa-saha	jaYalalitAa-saha,NP,0,0,n,n#
haYesaurabha	haYesaurabha,NP,0,0,n,n#
byA.nkaka-e	byA.nkaka-e,NP,0,0,n,n#
AtmaghAtake	AtmaghAta,NC,sg,acc,n,n#AtmaghAta,NV,acc,n,n#AtmaghAtaka,NP,sg,0,n,n#
kAchasApa	kAchasApa,NP,0,0,n,n#
ka~NkanAra	ka~NkanAra,NP,0,0,n,n#
kretA	kretA,NV,0,n,n#kretA,JJ,n,n#kretA,NP,sg,0,n,n#kretA,JQ,n,n,nnm#kretA,NC,sg,0,n,n#
shilpasa.nkaTera	shilpasa.nkaTera,NP,0,0,n,n#
mataikyai	mataikyai,NP,0,0,n,n#
prachChannera	prachChannera,NP,0,0,n,n#
chaturdasha	chaturdasha,NP,sg,0,n,n#chaturdasha,JJ,n,n#chaturdasha,JQ,n,n,nnm#chaturdasha,NV,0,n,n#chaturdasha,NC,sg,0,n,n#
puruSha-sa~Nge	puruSha-sa~Nge,NP,0,0,n,n#
mAlatIo	mAlatI,NV,0,n,n#mAlatI,NC,0,0,n,n#mAlatI,NP,0,0,n,n#
tribeNIsa~Ngame	tribeNIsa~Ngama,NV,0,n,n#tribeNIsa~Ngama,NC,sg,0,n,n#tribeNIsa~Ngama,NP,sg,0,n,n#
iNDinAYana	iNDinAYana,NP,0,0,n,n#
antara~Ngatama	antara~Ngatama,NP,0,0,n,n#
nishIthabaraNa	nishIthabaraNa,NP,0,0,n,n#
samAchArake	samAchAra,NC,sg,acc,n,n#samAchAra,NV,acc,n,n#
jhikiYe	jhikiYe,NP,0,0,n,n#
rekhoa'ra	rekhoa'ra,NP,0,0,n,n#
uttarAdhIkArIdera	uttarAdhIkArIdera,NP,0,0,n,n#
kApuruShatAa	kApuruShatAa,NP,0,0,n,n#
phulagAChagulora	phulagAChagulora,NP,0,0,n,n#
nIlA~njanaChAYAa'a	nIlA~njanaChAYAa'a,NP,0,0,n,n#
sushAsita	sushAsita,JJ,n,n#sushAsita,JQ,n,n,nnm#
Dekareshane	Dekareshane,NP,0,0,n,n#
DAusana	DAusana,NP,0,0,n,n#
mantrigaNera	mantrigaNera,NP,0,0,n,n#
prabartane	prabartana,NP,sg,0,n,n#prabartana,NV,0,n,n#prabartana,NC,sg,0,n,n#
dhAimArA	dhAimA,NC,pl,0,n,n#dhAimA,NV,0,n,n#dhAimA,NP,pl,0,n,n#
balena,a'a'prastAbaTi	balena,a'a'prastAbaTi,NP,0,0,n,n#
joTabandhanera	joTabandhanera,NP,0,0,n,n#
luTuTu	luTuTu,NP,0,0,n,n#
nihatara	nihatara,NP,0,0,n,n#
kaia-era	kaia-era,NP,0,0,n,n#
pratikriYAra	pratikriYA,NC,sg,gen,n,n#pratikriYA,NV,gen,n,n#pratikriYA,NP,sg,gen,n,n#
ghialAdera	ghialAdera,NP,0,0,n,n#
bastAtei	bastA,NC,0,loc,n,n#bastA,NV,loc,n,n#
nIlabidrohera	nIlabidrohera,NP,0,0,n,n#
matsya-saha	matsya-saha,NP,0,0,n,n#
bishbAsayogYa	bishbAsayogYa,NP,0,0,n,n#
asbIkRRiti	asbIkRRiti,NV,0,n,n#asbIkRRiti,NC,sg,0,n,n#asbIkRRiti,NP,sg,0,n,n#
bAjAra,a'a	bAjAra,a'a,NP,0,0,n,n#
klikUnabhera	klikUnabhera,NP,0,0,n,n#
shilpabodhahIna	shilpabodhahIna,NP,0,0,n,n#
sarbbabhUte	sarbbabhUte,NP,0,0,n,n#
oShudhapathyera	oShudhapathyera,NP,0,0,n,n#
kintta.a.a.a	kintta.a.a.a,NP,0,0,n,n#
ma~NgalasAdhana	ma~NgalasAdhana,NP,0,0,n,n#
penTeDa	penTeDa,NP,0,0,n,n#
mahAnti	mahAnti,NP,0,0,n,n#
shiuhArTa	shiuhArTa,NP,0,0,n,n#
mArDia-a-	mArDia-a-,NP,0,0,n,n#
sAralyaTike	sAralyaTike,NP,0,0,n,n#
kalapa	kalapa,NP,sg,0,n,n#kalapa,NC,sg,0,n,n#kalapa,NV,0,n,n#
basuia	basuia,NP,0,0,n,n#
gandharbI	gandharbI,NP,0,0,n,n#
kShamAo	kShamA,NV,0,n,n#kShamA,NC,0,0,n,n#kShamA,NP,0,0,n,n#
ra~Ngama.nchaguli	ra~Ngama.ncha,NV,0,y,n#ra~Ngama.ncha,NC,pl,0,y,n#
samudratIra	samudratIra,NP,0,0,n,n#
mRRityurodhe	mRRityurodhe,NP,0,0,n,n#
shAhajAhAna	shAhajAhAna,NP,0,0,n,n#
sApekShea	sApekShea,NP,0,0,n,n#
kApa.DaTA	kApa.Da,NC,sg,0,y,n#kApa.Da,NV,0,y,n#
'syAlAina	'syAlAina,NP,0,0,n,n#
debojjala	debojjala,NP,0,0,n,n#
saptAhaTike	saptAhaTike,NP,0,0,n,n#
premasbarUpa	premasbarUpa,NP,0,0,n,n#
eriopyAgATikAra	eriopyAgATikAra,NP,0,0,n,n#
ma~ncha-sAphalya	ma~ncha-sAphalya,NP,0,0,n,n#
badaleChe	badaleChe,NP,0,0,n,n#
TAimasa.	TAimasa.,NP,0,0,n,n#
ma~NgoliYa	ma~NgoliYa,NP,0,0,n,n#
bhartukihIna	bhartukihIna,NP,0,0,n,n#
upayogI.'	upayogI.',NP,0,0,n,n#
kolAja-e	kolAja-e,NP,0,0,n,n#
bAjiteChe	bAjiteChe,NP,0,0,n,n#
nakulIshera	nakulIshera,NP,0,0,n,n#
lariYeTa,a	lariYeTa,a,NP,0,0,n,n#
sShmUbichAra	sShmUbichAra,NP,0,0,n,n#
sarasatAra	sarasatA,NC,sg,gen,n,n#sarasatA,NP,sg,gen,n,n#sarasatA,NV,gen,n,n#
borDasa	borDasa,NP,0,0,n,n#
TaYenabira	TaYenabira,NP,0,0,n,n#
parAdhInabRRitti.'	parAdhInabRRitti.',NP,0,0,n,n#
pirathurAga.D	pirathurAga.D,NP,0,0,n,n#
hAtekha.Dira	hAtekha.Di,NV,gen,n,n#hAtekha.Di,NP,sg,gen,n,n#hAtekha.Di,NC,sg,gen,n,n#
ghaTanAa-a-	ghaTanAa-a-,NP,0,0,n,n#
shAsanahInatAra	shAsanahInatAra,NP,0,0,n,n#
iunesako	iunesako,NP,0,0,n,n#
pi.Npa.DA	pi.Npa.DA,NC,sg,0,n,n#pi.Npa.DA,NV,0,n,n#pi.Npa.DA,NP,sg,0,n,n#
sonADA~NAra	sonADA~NAra,NP,0,0,n,n#
bAnsAra'a-era	bAnsAra'a-era,NP,0,0,n,n#
dekhAba!a	dekhAba!a,NP,0,0,n,n#
AkhirApokhara	AkhirApokhara,NP,0,0,n,n#
gaurahATio	gaurahATio,NP,0,0,n,n#
bAjanAa	bAjanAa,NP,0,0,n,n#
nabamItei	nabamI,NV,loc,n,n#nabamI,NC,0,loc,n,n#
kAraoYA	kAraoYA,NP,0,0,n,n#
hesakia	hesakia,NP,0,0,n,n#
kAraleTa	kAraleTa,NP,0,0,n,n#
abhinabaguptera	abhinabaguptera,NP,0,0,n,n#
palAshapura	palAshapura,NP,0,0,n,n#
phAilagulora	phAila,NV,gen,n,n#phAila,NC,pl,gen,n,n#
jij.nAsAte	jij.nAsA,NV,loc,n,n#jij.nAsA,NC,sg,loc,n,n#
kShudrabAhara	kShudrabAhara,NP,0,0,n,n#
AshAprakAsha	AshAprakAsha,NP,0,0,n,n#
durnItia-mukta	durnItia-mukta,NP,0,0,n,n#
salamAjarira	salamAjarira,NP,0,0,n,n#
sUrikobhA	sUrikobhA,NP,0,0,n,n#
abdake	abda,NC,sg,acc,n,n#abda,NV,acc,n,n#
